iter	Passed	Remaining
0	15	1382
1	29	1268
2	42	1198
3	50	1066
4	57	961
5	64	879
6	71	827
7	78	782
8	85	747
9	91	714
10	97	684
11	104	659
12	110	640
13	117	620
14	123	603
15	130	586
16	136	571
17	143	558
18	151	549
19	158	540
20	166	531
21	175	527
22	183	519
23	191	509
24	198	501
25	206	492
26	213	483
27	221	475
28	230	467
29	239	462
30	248	457
31	258	451
32	271	452
33	282	448
34	292	443
35	302	437
36	310	428
37	318	419
38	326	410
39	334	401
40	342	392
41	350	384
42	358	375
43	366	366
44	373	356
45	380	347
46	387	338
47	393	328
48	399	318
49	405	308
50	411	298
51	417	289
52	424	280
53	430	271
54	437	262
55	443	253
56	450	245
57	457	236
58	463	227
59	470	219
60	476	210
61	482	202
62	488	193
63	495	185
64	501	177
65	507	169
66	514	161
67	520	153
68	526	144
69	532	136
70	538	128
71	544	121
72	550	113
73	556	105
74	562	97
75	568	89
76	575	82
77	582	74
78	588	67
79	594	59
80	600	51
81	607	44
82	613	36
83	620	29
84	626	22
85	632	14
86	639	7
87	645	0
